EventID 		 Status 		 Request Time 		 End Time 		 Turnaround Time 	 Pad
1 			 Landing 		 0 			 2 			 2 			 A
2 			 Launch 		 2 			 6 			 4 			 A
3 			 Landing 		 4 			 6 			 2 			 B
4 			 Landing 		 6 			 8 			 2 			 A
6 			 Landing 		 10 			 12 			 2 			 A
7 			 Landing 		 12 			 14 			 2 			 A
8 			 Landing 		 14 			 16 			 2 			 A
9 			 Landing 		 16 			 18 			 2 			 A
5 			 Assembly 		 8 			 20 			 12 			 B
10 			 Launch 		 18 			 22 			 4 			 A
11 			 Landing 		 20 			 22 			 2 			 B
12 			 Landing 		 22 			 24 			 2 			 A
13 			 Landing 		 24 			 26 			 2 			 B
14 			 Landing 		 26 			 28 			 2 			 A
15 			 Landing 		 28 			 30 			 2 			 B
16 			 Landing 		 30 			 32 			 2 			 A
18 			 Landing 		 34 			 36 			 2 			 A
19 			 Landing 		 36 			 38 			 2 			 A
20 			 Landing 		 38 			 40 			 2 			 A
21 			 Emergency 		 40 			 42 			 2 			 A
17 			 Assembly 		 32 			 44 			 12 			 B
22 			 Emergency 		 40 			 44 			 4 			 A
24 			 Landing 		 44 			 46 			 2 			 B
23 			 Landing 		 42 			 46 			 4 			 A
25 			 Landing 		 46 			 48 			 2 			 A
26 			 Landing 		 48 			 50 			 2 			 A
27 			 Landing 		 50 			 52 			 2 			 B
28 			 Landing 		 52 			 54 			 2 			 A
30 			 Landing 		 56 			 58 			 2 			 A
31 			 Landing 		 58 			 60 			 2 			 A
32 			 Landing 		 60 			 62 			 2 			 A
33 			 Landing 		 62 			 64 			 2 			 A
29 			 Assembly 		 54 			 66 			 12 			 B
34 			 Landing 		 64 			 66 			 2 			 A
35 			 Landing 		 66 			 68 			 2 			 A
36 			 Landing 		 68 			 70 			 2 			 B
37 			 Landing 		 70 			 72 			 2 			 A
38 			 Landing 		 72 			 74 			 2 			 B
39 			 Landing 		 74 			 76 			 2 			 A
40 			 Landing 		 76 			 78 			 2 			 A
41 			 Landing 		 78 			 80 			 2 			 A
43 			 Emergency 		 80 			 82 			 2 			 B
42 			 Emergency 		 80 			 82 			 2 			 A
45 			 Landing 		 84 			 86 			 2 			 A
46 			 Landing 		 86 			 88 			 2 			 A
47 			 Landing 		 88 			 90 			 2 			 A
48 			 Landing 		 90 			 92 			 2 			 A
44 			 Assembly 		 82 			 94 			 12 			 B
50 			 Landing 		 94 			 96 			 2 			 A
51 			 Landing 		 96 			 98 			 2 			 A
52 			 Landing 		 98 			 100 			 2 			 A
54 			 Landing 		 102 			 104 			 2 			 A
49 			 Assembly 		 92 			 106 			 14 			 B
55 			 Landing 		 104 			 106 			 2 			 A
56 			 Landing 		 106 			 108 			 2 			 B
57 			 Landing 		 108 			 110 			 2 			 A
58 			 Landing 		 110 			 112 			 2 			 A
59 			 Landing 		 112 			 114 			 2 			 A
60 			 Landing 		 114 			 118 			 4 			 A
53 			 Assembly 		 100 			 120 			 20 			 B
61 			 Landing 		 116 			 120 			 4 			 A
